MUNICIPIO,UNIDADE_CONSUMIDORA,JAN_2021,FEV_2021,MAR_2021,ABR_2021,MAI_2021,JUN_2021,JUL_2021,AGO_2021,SET_2021,OUT_2021,NOV_2021,DEZ_2021,JAN_2022,FEV_2022,MAR_2022,ABR_2022,MAI_2022,JUN_2022,JUL_2022,AGO_2022,SET_2022,OUT_2022,NOV_2022,DEZ_2022,QTD_FALTANTES,FALTANTES
COREMA,1838182-2,,,,,,OK,,,,,,,,,,,,,,,,,,,23,"JAN_2021, FEV_2021, MAR_2021, ABR_2021, MAI_2021, JUL_2021, AGO_2021, SET_2021, OUT_2021, NOV_2021, DEZ_2021, JAN_2022, FEV_2022, MAR_2022, ABR_2022, MAI_2022, JUN_2022, JUL_2022, AGO_2022, SET_2022, OUT_2022, NOV_2022, DEZ_2022"
COREMAS,1005466-6,OK,,,,,,,,,,,,,,,,,,,,,,,,23,"FEV_2021, MAR_2021, ABR_2021, MAI_2021, JUN_2021, JUL_2021, AGO_2021, SET_2021, OUT_2021, NOV_2021, DEZ_2021, JAN_2022, FEV_2022, MAR_2022, ABR_2022, MAI_2022, JUN_2022, JUL_2022, AGO_2022, SET_2022, OUT_2022, NOV_2022, DEZ_2022"
COREMAS,1025237-7,OK,,,,,,,,,,,,,,,,,,,,,,,,23,"FEV_2021, MAR_2021, ABR_2021, MAI_2021, JUN_2021, JUL_2021, AGO_2021, SET_2021, OUT_2021, NOV_2021, DEZ_2021, JAN_2022, FEV_2022, MAR_2022, ABR_2022, MAI_2022, JUN_2022, JUL_2022, AGO_2022, SET_2022, OUT_2022, NOV_2022, DEZ_2022"
COREMAS,1061943-5,OK,,,,,,,,,,,,,,,,,,,,,,,,23,"FEV_2021, MAR_2021, ABR_2021, MAI_2021, JUN_2021, JUL_2021, AGO_2021, SET_2021, OUT_2021, NOV_2021, DEZ_2021, JAN_2022, FEV_2022, MAR_2022, ABR_2022, MAI_2022, JUN_2022, JUL_2022, AGO_2022, SET_2022, OUT_2022, NOV_2022, DEZ_2022"
COREMAS,1075495-0,OK,,,,,OK,,,,,,,,,,,,,,,,,,,22,"FEV_2021, MAR_2021, ABR_2021, MAI_2021, JUL_2021, AGO_2021, SET_2021, OUT_2021, NOV_2021, DEZ_2021, JAN_2022, FEV_2022, MAR_2022, ABR_2022, MAI_2022, JUN_2022, JUL_2022, AGO_2022, SET_2022, OUT_2022, NOV_2022, DEZ_2022"
COREMAS,1083904-1,,,,,,OK,,,,,,,,,,,,,,,,,,,23,"JAN_2021, FEV_2021, MAR_2021, ABR_2021, MAI_2021, JUL_2021, AGO_2021, SET_2021, OUT_2021, NOV_2021, DEZ_2021, JAN_2022, FEV_2022, MAR_2022, ABR_2022, MAI_2022, JUN_2022, JUL_2022, AGO_2022, SET_2022, OUT_2022, NOV_2022, DEZ_2022"
COREMAS,1133939-7,,,,,,OK,,,,,,,,,,,,,,,,,,,23,"JAN_2021, FEV_2021, MAR_2021, ABR_2021, MAI_2021, JUL_2021, AGO_2021, SET_2021, OUT_2021, NOV_2021, DEZ_2021, JAN_2022, FEV_2022, MAR_2022, ABR_2022, MAI_2022, JUN_2022, JUL_2022, AGO_2022, SET_2022, OUT_2022, NOV_2022, DEZ_2022"
COREMAS,1206367-3,,,,,,OK,,,,,,,,,,,,,,,,,,,23,"JAN_2021, FEV_2021, MAR_2021, ABR_2021, MAI_2021, JUL_2021, AGO_2021, SET_2021, OUT_2021, NOV_2021, DEZ_2021, JAN_2022, FEV_2022, MAR_2022, ABR_2022, MAI_2022, JUN_2022, JUL_2022, AGO_2022, SET_2022, OUT_2022, NOV_2022, DEZ_2022"
COREMAS,1286611-7,,,,,,OK,,,,,,,,,,,,,,,,,,,23,"JAN_2021, FEV_2021, MAR_2021, ABR_2021, MAI_2021, JUL_2021, AGO_2021, SET_2021, OUT_2021, NOV_2021, DEZ_2021, JAN_2022, FEV_2022, MAR_2022, ABR_2022, MAI_2022, JUN_2022, JUL_2022, AGO_2022, SET_2022, OUT_2022, NOV_2022, DEZ_2022"
COREMAS,1286689-3,,,,,,OK,,,,,,,,,,,,,,,,,,,23,"JAN_2021, FEV_2021, MAR_2021, ABR_2021, MAI_2021, JUL_2021, AGO_2021, SET_2021, OUT_2021, NOV_2021, DEZ_2021, JAN_2022, FEV_2022, MAR_2022, ABR_2022, MAI_2022, JUN_2022, JUL_2022, AGO_2022, SET_2022, OUT_2022, NOV_2022, DEZ_2022"
